technologies
"['Python', 'Flask', 'AWS', 'Docker', 'Kubernetes', 'REST', 'Git', 'GitHub', 'CI/CD', 'Jenkins', 'Azure', 'GCP']"
"['Python', 'SQL', 'JavaScript', 'React', 'Docker', 'Kubernetes', 'REST', 'Git', 'GitHub', 'Linux', 'Pytest']"
"['Python', 'Django', 'JavaScript', 'React', 'AWS', 'REST', 'Git', 'GitHub', 'Azure', 'GCP']"
"['Python', 'SQL', 'Docker', 'PostgreSQL', 'Git', 'GitHub', 'Linux']"
"['Python', 'SQL', 'AWS', 'Docker', 'Kubernetes', 'PostgreSQL', 'MongoDB', 'Git', 'GitHub', 'Scrum', 'FastAPI', 'Asyncio']"
"['Python', 'JavaScript', 'Git', 'GitHub', 'Agile']"
"['Python', 'AWS', 'REST', 'Computer Vision', 'Git', 'GitHub']"
"['Python', 'SQL', 'AWS', 'Git', 'GitHub', 'Airflow', 'Selenium', 'BeautifulSoup', 'Scrapy']"
"['Python', 'Docker', 'TensorFlow', 'PyTorch', 'Git', 'GitHub']"
"['Python', 'Django', 'SQL', 'AWS', 'Celery', 'Redis', 'PostgreSQL', 'Git', 'GitHub', 'Linux', 'Azure']"
"['Python', 'MongoDB', 'Git', 'GitHub']"
"['Python', 'SQL', 'AWS', 'Docker', 'Celery', 'Redis', 'MySQL', 'Git', 'GitHub', 'SQLAlchemy', 'Airflow', 'Selenium', 'Scrapy', 'Pytest', 'UnitTest', 'Mock']"
"['Python', 'Django', 'SQL', 'JavaScript', 'React', 'AWS', 'PostgreSQL', 'MySQL', 'MongoDB', 'Git', 'GitHub', 'CI/CD', 'Terraform', 'ETL', 'Airflow']"
"['Python', 'MongoDB', 'TensorFlow', 'PyTorch', 'Git', 'GitHub', 'FastAPI', 'Hadoop', 'Spark', 'GCP']"
"['Python', 'Django', 'Flask', 'SQL', 'NoSQL', 'Kubernetes', 'REST', 'Git', 'GitHub', 'CI/CD', 'Agile', 'SQLAlchemy', 'Spark', 'Azure']"
"['Python', 'SQL', 'AWS', 'Docker', 'PostgreSQL', 'Git', 'GitHub', 'Ansible']"
"['Python', 'TensorFlow', 'PyTorch', 'Computer Vision', 'Git', 'GitHub', 'Linux']"
